"","ontology"
"GO:0001708","BP"
"GO:0001709","BP"
"GO:0001710","BP"
"GO:0001711","BP"
"GO:0001712","BP"
"GO:0001713","BP"
"GO:0001714","BP"
"GO:0001715","BP"
"GO:0001716","MF"
"GO:0001717","BP"
"GO:0001720","BP"
"GO:0001725","CC"
"GO:0001726","CC"
"GO:0001727","MF"
"GO:0001729","MF"
"GO:0001730","MF"
"GO:0001731","BP"
"GO:0001732","BP"
"GO:0001733","MF"
"GO:0001734","MF"
"GO:0001735","MF"
"GO:0001736","BP"
"GO:0001737","BP"
"GO:0001738","BP"
"GO:0001739","CC"
"GO:0001740","CC"
"GO:0001741","CC"
"GO:0001742","BP"
"GO:0001743","BP"
"GO:0001744","BP"
"GO:0001745","BP"
"GO:0001746","BP"
"GO:0001748","BP"
"GO:0001750","CC"
"GO:0001751","BP"
"GO:0001752","BP"
"GO:0001754","BP"
"GO:0001755","BP"
"GO:0001756","BP"
"GO:0001757","BP"
"GO:0001758","MF"
"GO:0001759","BP"
"GO:0001760","MF"
"GO:0001761","MF"
"GO:0001762","BP"
"GO:0001763","BP"
"GO:0001764","BP"
"GO:0001765","BP"
"GO:0001766","BP"
"GO:0001767","BP"
"GO:0001768","BP"
"GO:0001769","BP"
"GO:0001770","BP"
"GO:0001771","BP"
"GO:0001772","CC"
"GO:0001773","BP"
"GO:0001774","BP"
"GO:0001775","BP"
"GO:0001776","BP"
"GO:0001777","BP"
"GO:0001778","BP"
"GO:0001779","BP"
"GO:0001780","BP"
"GO:0001781","BP"
"GO:0001782","BP"
"GO:0001783","BP"
"GO:0001784","MF"
"GO:0001785","MF"
"GO:0001786","MF"
"GO:0001787","BP"
"GO:0001788","BP"
"GO:0001790","MF"
"GO:0001791","MF"
"GO:0001792","MF"
"GO:0001793","MF"
"GO:0001794","BP"
"GO:0001795","BP"
"GO:0001796","BP"
"GO:0001797","BP"
"GO:0001798","BP"
"GO:0001799","BP"
"GO:0001800","BP"
"GO:0001801","BP"
"GO:0001802","BP"
"GO:0001803","BP"
"GO:0001804","BP"
"GO:0001805","BP"
"GO:0001806","BP"
"GO:0001807","BP"
"GO:0001808","BP"
"GO:0001809","BP"
"GO:0001810","BP"
"GO:0001811","BP"
"GO:0001812","BP"
"GO:0001813","BP"
"GO:0001814","BP"
"GO:0001815","BP"
"GO:0001816","BP"
"GO:0001817","BP"
"GO:0001818","BP"
"GO:0001819","BP"
"GO:0001820","BP"
"GO:0001821","BP"
"GO:0001822","BP"
"GO:0001823","BP"
"GO:0001824","BP"
"GO:0001825","BP"
"GO:0001826","BP"
"GO:0001827","BP"
"GO:0001828","BP"
"GO:0001829","BP"
"GO:0001830","BP"
"GO:0001831","BP"
"GO:0001832","BP"
"GO:0001833","BP"
"GO:0001834","BP"
"GO:0001835","BP"
"GO:0001836","BP"
"GO:0001837","BP"
"GO:0001838","BP"
"GO:0001839","BP"
"GO:0001840","BP"
"GO:0001841","BP"
"GO:0001842","BP"
"GO:0001843","BP"
"GO:0001844","BP"
"GO:0001845","BP"
"GO:0001846","MF"
"GO:0001847","MF"
"GO:0001848","MF"
"GO:0001849","MF"
"GO:0001850","MF"
"GO:0001851","MF"
"GO:0001852","MF"
"GO:0001853","MF"
"GO:0001854","MF"
"GO:0001855","MF"
"GO:0001856","MF"
"GO:0001857","MF"
"GO:0001858","MF"
"GO:0001859","MF"
"GO:0001860","MF"
"GO:0001861","MF"
"GO:0001862","MF"
"GO:0001863","MF"
"GO:0001864","MF"
"GO:0001865","BP"
"GO:0001866","BP"
"GO:0001867","BP"
"GO:0001868","BP"
"GO:0001869","BP"
"GO:0001870","BP"
"GO:0001872","MF"
"GO:0001873","MF"
"GO:0001874","MF"
"GO:0001875","MF"
"GO:0001876","MF"
"GO:0001877","MF"
"GO:0001878","BP"
"GO:0001879","BP"
"GO:0001880","BP"
"GO:0001881","BP"
"GO:0001882","MF"
"GO:0001883","MF"
"GO:0001884","MF"
"GO:0001885","BP"
"GO:0001886","BP"
"GO:0001887","BP"
"GO:0001888","MF"
"GO:0001889","BP"
"GO:0001890","BP"
"GO:0001891","CC"
"GO:0001892","BP"
"GO:0001893","BP"
"GO:0001894","BP"
"GO:0001895","BP"
"GO:0001896","BP"
"GO:0001897","BP"
"GO:0001898","BP"
"GO:0001899","BP"
"GO:0001900","BP"
"GO:0001905","BP"
"GO:0001906","BP"
"GO:0001907","BP"
"GO:0001909","BP"
"GO:0001910","BP"
"GO:0001911","BP"
"GO:0001912","BP"
"GO:0001913","BP"
"GO:0001914","BP"
"GO:0001915","BP"
"GO:0001916","BP"
"GO:0001917","CC"
"GO:0001918","MF"
"GO:0001919","BP"
"GO:0001920","BP"
"GO:0001921","BP"
"GO:0001922","BP"
"GO:0001923","BP"
"GO:0001924","BP"
"GO:0001925","BP"
"GO:0001926","BP"
"GO:0001927","BP"
"GO:0001928","BP"
"GO:0001929","BP"
"GO:0001930","BP"
"GO:0001931","CC"
"GO:0001932","BP"
"GO:0001933","BP"
"GO:0001934","BP"
"GO:0001935","BP"
"GO:0001936","BP"
"GO:0001937","BP"
"GO:0001938","BP"
"GO:0001939","CC"
"GO:0001940","CC"
"GO:0001941","BP"
"GO:0001942","BP"
"GO:0001944","BP"
"GO:0001945","BP"
"GO:0001946","BP"
"GO:0001947","BP"
"GO:0001949","BP"
"GO:0001951","BP"
"GO:0001952","BP"
"GO:0001953","BP"
"GO:0001954","BP"
"GO:0001955","BP"
"GO:0001956","BP"
"GO:0001957","BP"
"GO:0001958","BP"
"GO:0001959","BP"
"GO:0001960","BP"
"GO:0001961","BP"
"GO:0001962","MF"
"GO:0001963","BP"
"GO:0001964","BP"
"GO:0001965","MF"
"GO:0001966","BP"
"GO:0001967","BP"
"GO:0001968","MF"
"GO:0001969","BP"
"GO:0001970","BP"
"GO:0001971","BP"
"GO:0001972","MF"
"GO:0001973","BP"
"GO:0001974","BP"
"GO:0001975","BP"
"GO:0001976","BP"
"GO:0001977","BP"
"GO:0001978","BP"
"GO:0001979","BP"
"GO:0001980","BP"
"GO:0001981","BP"
"GO:0001982","BP"
"GO:0001983","BP"
"GO:0001984","BP"
"GO:0001985","BP"
"GO:0001986","BP"
"GO:0001987","BP"
"GO:0001988","BP"
"GO:0001989","BP"
"GO:0001990","BP"
"GO:0001991","BP"
"GO:0001992","BP"
"GO:0001993","BP"
"GO:0001994","BP"
"GO:0001995","BP"
"GO:0001996","BP"
"GO:0001997","BP"
"GO:0001998","BP"
"GO:0001999","BP"
"GO:0002000","BP"
"GO:0002001","BP"
"GO:0002002","BP"
"GO:0002003","BP"
"GO:0002004","BP"
"GO:0002006","BP"
"GO:0002007","BP"
"GO:0002008","BP"
"GO:0002009","BP"
"GO:0002010","BP"
"GO:0002011","BP"
"GO:0002012","BP"
"GO:0002013","BP"
"GO:0002014","BP"
"GO:0002015","BP"
"GO:0002016","BP"
"GO:0002017","BP"
"GO:0002018","BP"
"GO:0002019","BP"
"GO:0002020","MF"
"GO:0002021","BP"
"GO:0002022","BP"
"GO:0002023","BP"
"GO:0002024","BP"
"GO:0002025","BP"
"GO:0002026","BP"
"GO:0002027","BP"
"GO:0002028","BP"
"GO:0002029","BP"
"GO:0002030","BP"
